lat,lon,grid_id,ff_day,tau_day,f_transfer,export_frac_to_outlet,steps_to_outlet,cycle_break_flag,k_adv_day,k_ret_day,k_use_day
34.79999923706055,112.19999694824219,3481122,5054.23828125,5054.23828125,0.01861872337758541,0.01861872337758541,1,0,3.683784143504454e-06,0.00018501417071092874,9.15578675630968e-06
35.0,111.80000305175781,3501118,4440.05712890625,4440.05712890625,0.05351054295897484,0.05351054295897484,1,0,1.2051768862875178e-05,0.00020119039982091635,1.198015615955228e-05
31.200000762939453,86.5999984741211,3120866,3153.4580078125,3153.4580078125,0.0013975549954921007,0.0013975549954921007,1,0,4.431817046679498e-07,0.00031666900031268597,0.0
31.0,86.4000015258789,3100864,3149.708251953125,3149.708251953125,0.00258583459071815,0.00258583459071815,1,0,8.209759130295424e-07,0.00031666873837821186,0.0
31.0,86.19999694824219,3100862,3146.78271484375,0.004772693384438753,0.9990696310997009,0.0025834289845079184,2,0,209.3303680419922,0.19493497908115387,0.0
31.0,86.5999984741211,3100866,3143.80517578125,3143.80517578125,0.003563134465366602,0.003563134465366602,1,0,1.1333827387716155e-06,0.00031666806899011135,2.844212758645881e-07
24.600000381469727,104.80000305175781,2461048,2577.09716796875,2577.09716796875,0.056043919175863266,0.056043919175863266,1,0,2.1746916900156066e-05,0.0003662865492515266,0.0
36.0,100.5999984741211,3601006,2553.523193359375,2553.523193359375,0.00033633760176599026,0.00033633760176599026,1,0,1.317151117063986e-07,0.0003914840635843575,1.5644099404386e-23
35.79999923706055,100.5999984741211,3581006,2503.947021484375,2503.947021484375,8.245190838351846e-05,8.245190838351846e-05,1,0,3.292877792659965e-08,0.0003914840635843575,7.852496310079005e-06
24.799999237060547,105.0,2481050,2491.653076171875,2491.653076171875,0.02039981260895729,0.02039981260895729,1,0,8.187260391423479e-06,0.0003684389521367848,2.471376683388371e-05
36.0,100.80000305175781,3601008,2443.456298828125,2443.456298828125,0.004827601369470358,0.004827601369470358,1,0,1.9757264908548677e-06,0.0003914855478797108,1.5795056242495775e-05
33.70000076293945,78.80000305175781,3360788,2290.373291015625,2287.459228515625,0.003932002000510693,0.00016645948926452547,2,0,1.7189387335747597e-06,0.00043544734944589436,0.0
30.799999237060547,86.4000015258789,3080864,2281.777587890625,2281.777587890625,0.22152818739414215,0.22152818739414215,1,0,9.70857945503667e-05,0.0003411690122447908,0.0
32.400001525878906,110.4000015258789,3241104,2246.306640625,2233.576904296875,0.06311722099781036,0.057672932744026184,3,0,2.8258360543986782e-05,0.0004192847991362214,1.6921562462357542e-07
32.29999923706055,110.4000015258789,3231104,2119.9345703125,2027.6597900390625,0.041078466922044754,0.0023691155947744846,4,0,2.025905268965289e-05,0.00043568643741309643,3.7233898183330894e-05
28.600000381469727,110.0,2861100,2024.4605712890625,2024.4605712890625,0.09867198020219803,0.09867198020219803,1,0,4.873988655162975e-05,0.0004032926808577031,4.192616688669659e-05
30.399999618530273,110.80000305175781,3041108,1903.562255859375,1903.562255859375,0.0512114055454731,0.0512114055454731,1,0,2.6902933313976973e-05,0.000463191419839859,3.523652776493691e-05
32.70000076293945,111.5999984741211,3261116,1896.25146484375,1896.25146484375,0.00919615849852562,0.00919615849852562,1,0,4.849651759286644e-06,0.0005210711969994009,1.435403078176023e-06
32.79999923706055,111.5999984741211,3281116,1890.68701171875,1890.68701171875,0.011557781137526035,0.011557781137526035,1,0,6.113006293162471e-06,0.0005210727103985846,1.7225738702109084e-06
32.599998474121094,111.4000015258789,3251114,1866.9962158203125,1866.9962158203125,0.005528523586690426,0.005528523586690426,1,0,2.961186282846029e-06,0.0005261091864667833,6.549352292495314e-06
32.70000076293945,111.4000015258789,3261114,1859.7999267578125,1859.7999267578125,0.019755259156227112,0.019755259156227112,1,0,1.0622249646985438e-05,0.0005216422723606229,5.427736596175237e-06
30.399999618530273,111.0,3041110,1835.1324462890625,1835.1324462890625,0.048404429107904434,0.048404429107904434,1,0,2.637653233250603e-05,0.00046264412230812013,5.58991487196181e-05
32.599998474121094,111.0,3251110,1833.1309814453125,1833.1309814453125,0.010160052217543125,0.010160052217543125,1,0,5.542457984120119e-06,0.0005211139214225113,1.8858350813388824e-05
32.70000076293945,111.19999694824219,3261112,1828.6390380859375,1828.6390380859375,0.0042974031530320644,0.0042974031530320644,1,0,2.3500554107158678e-06,0.0005257065058685839,1.879820047179237e-05
31.600000381469727,116.0,3161160,1734.5572509765625,1734.5572509765625,0.027907472103834152,0.027907472103834152,1,0,1.6089103155536577e-05,0.0005506737506948411,9.753109225130174e-06
30.399999618530273,110.5999984741211,3041106,1692.1409912109375,1692.1409912109375,0.15670402348041534,0.15670402348041534,1,0,9.260694787371904e-05,0.0004636368830688298,3.472345997579396e-05
25.799999237060547,113.4000015258789,2581134,1675.3792724609375,1675.3792724609375,0.05866377800703049,0.05866377800703049,1,0,3.5015222238143906e-05,0.0005394589970819652,2.2405540221370757e-05
27.200000762939453,106.4000015258789,2721064,1651.1649169921875,1651.1649169921875,0.03132312372326851,0.03132312372326851,1,0,1.897031870612409e-05,0.0005501911509782076,3.64715451723896e-05
42.20000076293945,127.0,4221270,1649.592041015625,1600.501953125,0.030583737418055534,0.0007234552758745849,4,0,1.9108840206172317e-05,0.0006056951242499053,0.0
42.29999923706055,127.0,4231270,1605.104736328125,198.60690307617188,0.8785361647605896,0.02365490049123764,3,0,0.0044234925881028175,0.0006057898281142116,5.789333954453468e-06
42.400001525878906,127.0,4241270,1600.9560546875,901.834716796875,0.45157474279403687,0.026925358921289444,2,0,0.000500728958286345,0.0006063958862796426,1.725820197862049e-06
42.599998474121094,127.19999694824219,4251272,1595.8599853515625,1593.0826416015625,0.034588806331157684,0.03290535509586334,2,0,2.171187225030735e-05,0.0006059589795768261,4.2980296655059647e-08
41.0,120.5999984741211,4101206,1594.2568359375,1594.2568359375,0.12664984166622162,0.12664984166622162,1,0,7.944130629766732e-05,0.0005404441035352647,7.366088084381772e-06
24.600000381469727,102.80000305175781,2461028,1581.567626953125,1581.567626953125,0.025436678901314735,0.025436678901314735,1,0,1.608320599189028e-05,0.0005831103189848363,3.309051680844277e-05
24.399999618530273,102.80000305175781,2441028,1577.0799560546875,1577.0799560546875,0.02033696137368679,0.02033696137368679,1,0,1.2895327017758973e-05,0.0005832220194861293,3.796590681304224e-05
42.70000076293945,127.5999984741211,4261276,1560.9842529296875,1560.9842529296875,0.05439329892396927,0.05439329892396927,1,0,3.4845514164771885e-05,0.0006057759164832532,0.0
42.599998474121094,127.0,4251270,1548.1851806640625,1548.1851806640625,0.059625472873449326,0.059625472873449326,1,0,3.8513142499141395e-05,0.0006074044504202902,0.0
42.70000076293945,127.4000015258789,4261274,1542.47900390625,1531.5235595703125,0.07085328549146652,0.06421661376953125,2,0,4.626326699508354e-05,0.0006066812784411013,0.0
28.799999237060547,85.5999984741211,2880856,1515.6689453125,1515.6689453125,0.012175673618912697,0.012175673618912697,1,0,8.033201083890162e-06,0.000651741458568722,0.0
29.0,85.5999984741211,2900856,1498.4322509765625,1498.4322509765625,0.02351507544517517,0.02351507544517517,1,0,1.5693118257331662e-05,0.0006516710272990167,1.2201625587693668e-23
27.399999618530273,106.5999984741211,2741066,1494.7569580078125,1494.7569580078125,0.017687484622001648,0.017687484622001648,1,0,1.1833016287710052e-05,0.0005494458600878716,0.00010772617679322138
32.70000076293945,113.80000305175781,3261138,1395.4884033203125,1395.4884033203125,0.07732459157705307,0.07732459157705307,1,0,5.541041537071578e-05,0.0006080277962610126,5.315680391504429e-05
32.400001525878906,111.0,3241110,1371.4969482421875,0.0048974789679050446,0.7481691241264343,0.007601437158882618,2,0,152.76617431640625,0.19493497908115387,51.22557830810547
40.599998474121094,125.19999694824219,4051251,1357.4857177734375,1213.075439453125,0.10685603320598602,7.84953372203745e-05,3,0,8.808688289718702e-05,0.000736264162696898,0.0
24.0,114.5999984741211,2401146,1355.155517578125,1355.155517578125,0.019217638298869133,0.019217638298869133,1,0,1.4181131518853363e-05,0.0007237415411509573,0.0
40.599998474121094,125.0,4051250,1351.4471435546875,1328.453369140625,0.01770850643515587,0.0007345896447077394,2,0,1.3330168258107733e-05,0.0007394249550998211,0.0
40.70000076293945,125.0,4061250,1349.5926513671875,1349.5926513671875,0.007329526823014021,0.007329526823014021,1,0,5.430918008642038e-06,0.0007355334237217903,0.0
40.79999923706055,125.5999984741211,4081256,1332.8919677734375,1332.8919677734375,0.015930674970149994,0.015930674970149994,1,0,1.1951963642786723e-05,0.0007382964249700308,0.0
32.599998474121094,111.19999694824219,3251112,1330.041259765625,1330.041259765625,0.07773620635271072,0.07773620635271072,1,0,5.844645784236491e-05,0.000678514305036515,1.4895585081831086e-05
33.599998474121094,79.5999984741211,3350796,1315.40673828125,1315.201904296875,0.00015579919272568077,8.492316538877276e-08,2,0,1.1846028513673446e-07,0.0007602210389450192,0.0
33.400001525878906,79.80000305175781,3340798,1315.40576171875,1314.8946533203125,0.00038940698141232133,1.4125542691090232e-07,2,0,2.961507163945498e-07,0.0007602210971526802,0.0
33.70000076293945,79.5999984741211,3360796,1314.6802978515625,1314.6802978515625,0.0005450809258036315,0.0005450809258036315,1,0,4.1461100863671163e-07,0.0007602266268804669,0.0
33.599998474121094,79.80000305175781,3350798,1312.419189453125,1312.419189453125,0.00036274499143473804,0.00036274499143473804,1,0,2.763941608918685e-07,0.0007616752991452813,0.0
40.70000076293945,125.19999694824219,4061252,1310.8045654296875,1310.8045654296875,0.03127932921051979,0.03127932921051979,1,0,2.3862694433773868e-05,0.0007390275713987648,0.0
23.799999237060547,114.4000015258789,2381144,1305.509521484375,1305.509521484375,0.051735758781433105,0.051735758781433105,1,0,3.962879054597579e-05,0.0007235976518131793,2.7580686037254054e-06
40.70000076293945,125.4000015258789,4061254,1305.3602294921875,1305.3602294921875,0.03531162068247795,0.03531162068247795,1,0,2.7051246433984488e-05,0.0007390208193100989,0.0
40.400001525878906,125.0,4041250,1298.45849609375,1298.45849609375,0.04148230701684952,0.04148230701684952,1,0,3.194734745193273e-05,0.0007381965988315642,0.0
34.20000076293945,111.19999694824219,3421112,1279.9617919921875,1279.9617919921875,0.11689421534538269,0.11689421534538269,1,0,9.132632840191945e-05,0.0006768663879483938,1.308057107962668e-05
35.79999923706055,103.0,3581030,1255.502685546875,1255.502685546875,0.0020018930081278086,0.0020018930081278086,1,0,1.5944951883284375e-06,0.0007277082186192274,6.719095108564943e-05
40.599998474121094,124.80000305175781,4051248,1252.9603271484375,1252.9603271484375,0.07840897142887115,0.07840897142887115,1,0,6.257897621253505e-05,0.000735530920792371,0.0
43.79999923706055,128.89999389648438,4381288,1246.056884765625,1246.056884765625,0.006291970144957304,0.006291970144957304,1,0,5.049505034548929e-06,0.0007853583665564656,1.212376264447812e-05
23.799999237060547,114.5999984741211,2381146,1241.1612548828125,1241.1612548828125,0.10213714092969894,0.10213714092969894,1,0,8.229158993344754e-05,0.000723405450116843,0.0
34.0,81.4000015258789,3400814,1185.26806640625,1185.26806640625,0.00034060870530083776,0.00034060870530083776,1,0,2.873685218673927e-07,0.0008434036863036454,0.0
34.0,81.80000305175781,3400818,1185.26806640625,1185.26806640625,0.0003406087344046682,0.0003406087344046682,1,0,2.873685218673927e-07,0.0008434036280959845,0.0
34.0,81.5999984741211,3400816,1185.2047119140625,1185.2047119140625,0.00039298905176110566,0.00039298905176110566,1,0,3.3157905932057474e-07,0.0008434045594185591,0.0
43.29999923706055,127.0,4331270,1162.78759765625,1065.15087890625,0.08757906407117844,0.007312429137527943,2,0,8.22222136775963e-05,0.0008566118776798248,0.0
30.600000381469727,90.80000305175781,3060908,1162.2415771484375,1162.2415771484375,0.0044374968856573105,0.0044374968856573105,1,0,3.818050572590437e-06,0.0008565883035771549,0.0
