grid_id,n_reaches,total_length_km,max_seg_length_km,main_hyriv_id,main_length_km,main_length_frac,n_exit_reaches,n_exit_downstream_cells,in_china,next_grid_id,has_next,rank_by
2201090,28,46.358601290600475,5.594800038416934,41124476,5.594800038416934,0.12068526406449881,4,2,True,2201089.0,True,n_reaches
2980952,28,45.268797216624264,4.393089597998652,40690477,4.393089597998652,0.09704453990629462,1,1,True,2970952.0,True,n_reaches
2920956,28,43.21888786374004,4.470241517727349,40718660,4.470241517727349,0.10343259020965716,1,1,True,2920955.0,True,n_reaches
2300998,27,62.507616193026216,9.46121170004184,41077914,9.46121170004184,0.1513609424941948,2,1,True,2310998.0,True,n_reaches
2281144,27,59.396396905432475,5.275227436792374,41087750,5.275227436792374,0.08881392999631421,1,1,True,2291144.0,True,n_reaches
2421134,27,58.69373277160811,8.111828733383804,41013986,8.111828733383804,0.1382060460347435,2,1,True,2411134.0,True,n_reaches
2241012,27,57.156283104539895,6.607466494937529,41106027,6.607466494937529,0.11560350211808473,2,2,True,2231013.0,True,n_reaches
2921176,27,56.71577675903936,5.005447554964494,40716987,5.005447554964494,0.08825494141128423,2,2,True,2921177.0,True,n_reaches
2500986,27,55.74471866780442,5.415372242975248,40972835,5.415372242975248,0.09714592471524873,1,1,True,2490986.0,True,n_reaches
2821168,27,53.856963591967386,4.908539213632286,40777105,4.908539213632286,0.09114028876229445,3,1,True,2831168.0,True,n_reaches
3001090,27,53.75932559321994,4.144861788357454,40683080,4.144861788357454,0.07710033082855858,1,1,True,2991090.0,True,n_reaches
2881200,27,52.934664304725615,6.5003230856526635,40740089,6.5003230856526635,0.12279898571251283,1,1,True,2881199.0,True,n_reaches
2961182,27,52.78004043633248,8.152439211468307,40701143,8.152439211468307,0.15446064732183057,1,1,True,2971182.0,True,n_reaches
3020948,27,52.01171316888351,6.897124747019979,40674260,6.897124747019979,0.13260714417586705,1,1,True,3020949.0,True,n_reaches
2860852,27,51.729349117517074,6.998229608344347,40751651,6.998229608344347,0.13528547580303,2,1,True,2850852.0,True,n_reaches
2741152,27,51.65659427451964,5.926409684859715,40825346,5.926409684859715,0.11472706956569535,2,1,True,2741151.0,True,n_reaches
2461146,27,50.789168883245296,4.073011852348308,40993690,4.073011852348308,0.08019449701394785,3,1,True,2471146.0,True,n_reaches
2921166,27,50.33502900282736,6.9464991774085325,40719498,6.9464991774085325,0.13800526820036882,3,2,True,2921165.0,True,n_reaches
2221118,27,50.133215861650406,6.12924611769466,41115027,6.12924611769466,0.12225918510013738,3,3,True,2221117.0,True,n_reaches
2961030,27,49.79507888563902,3.8168578059268965,40699780,3.8168578059268965,0.07665130553749729,1,1,True,2971030.0,True,n_reaches
